CNPJ;Endereço;DATA DA SITUAÇÃO ESPECIAL;SITUAÇÃO ESPECIAL;CORREIO ELETRÔNICO;FAX;DDD DO FAX;TELEFONE 2;DDD 2;TELEFONE 1;DDD 1;MUNICÍPIO;UF;CEP;CNAE FISCAL SECUNDÁRIA;CNAE FISCAL PRINCIPAL;DATA DE INÍCIO ATIVIDADE;PAIS;MOTIVO SITUAÇÃO CADASTRAL;DATA SITUAÇÃO CADASTRAL;NOME FANTASIA;IDENTIFICADOR MATRIZ/FILIAL
01234206000149;RUA TEN ARY TARRAGO 1720 APT   120 JARDIM ITU SABARA;"";"";"";"";"";"";"";37797491;51;8801;RS;91225001;4619200;4616800;19960605;"";00;20181224;"";1
41577986000144;RUA GUTEMBERG 162  VILA CONGONHAS;"";"";ARISTONESILVA@HOTMAIL.COM;60622724;11;"";"";60622724;11;7107;SP;04624030;5611203;5611201;20210414;"";00;20210414;AKAJIMA SUSHIBAR;1
51319652000124;RUA ROSA NIVEA 184  JARDINS;"";"";FDBA16@GMAIL.COM;"";"";"";"";98449942;84;1837;RN;59293462;4930201;5212500;20230706;"";00;20230706;"";1
44793055000171;TRAVESSA PALMITEIRO 78 CONJ 2 EUCALIPTOS;"";"";MISSIONARIOPEDROJOSE2014@GMAIL.COM;"";"";"";"";97831161;41;9983;PR;83820393;4322301,4330402,4330404;4399103;20220109;"";00;20220109;"";1
46123319000105;RUA JOAO BATISTA SALOMAO 308  JARDIM ALMEIDA;"";"";ELIANARA.LIAH@YAHOO.COM.BR;"";"";"";"";88396924;35;7083;SP;13876343;"";9602501;20220424;"";00;20220424;"";1
06194272000156;RODOVIA BR 230 931  CIDADE NOVA;"";"";CONTABILIZEBN@OUTLOOK.COM;"";"";"";"";91667592;93;0639;PA;68148000;4530703,4530705,4541206,4723700,4729699,4744001,4744099,4753900,4754701,4759899,4761003,4781400,4782201,4789004,4789099;4754702;20040406;"";00;20050903;LOJAS SAMPAIO;1
38101586000153;RODOVIA RODOVIA PI 112 SN  ZONA RURAL;"";"";KPTAL@KPTAL.CNT.BR;"";"";"";"";33033505;98;1221;PI;64125970;4120400,6810201,6810203,7112000;4110700;20200814;"";00;20220715;LOTEAMENTO CHAPARRAL VILLE;1
56915222000199;RUA MARIA CARMEN RODRIGUES SAKER 90 SALA  508                 ANDAR 5 JARDIM DO PACO;"";"";BHMASSESSORIA@GMAIL.COM;"";"";"";"";32243552;15;7145;SP;18087081;"";4721104;20240819;"";00;20240819;"";1
03254971000156;AVENIDA DARCY VARGAS 85  IPIRANGA;"";"";MARATO@IG.COM.BR;32187942;32;"";"";32187942;32;4733;MG;36031100;"";8800600;19980205;"";00;20181102;"";1
57768847000138;RUA MARECHAL FLORIANO PEIXOTO 1966 CASA CENTRO;"";"";KELLY-DEDE@LIVE.COM;"";"";"";"";98806080;46;7733;PR;85690051;"";8599699;20241021;"";00;20241021;"";1
40891334000117;RUA JOANA RECH MOLIN 97  BORGES DE MEDEIROS;"";"";ANTENORLONGO2@GMAIL.COM;"";"";"";"";99203999;54;8737;RS;99150000;4322301,4330404,4330405;4399103;20210218;"";00;20210218;"";1
47687476000106;RUA AGUIA 48  NUCLEO RESIDENCIAL RECANTO DOS PASSAROS;"";"";LANGOOHANDMADE@GMAIL.COM;"";"";"";"";32298613;19;6291;SP;13061390;"";1529700;20220823;"";00;20220823;"";1
11706302000104;RUA TUNISIA 396 SALA  01 CANAA;"";"";LEMOS.SILVATRANSPORTES@GMAIL.COM;"";"";"";"";71641885;31;4123;MG;31749035;"";4930202;20100318;"";00;20100318;LEMOS & SILVA TRANSPORTES;1
59582412000120;RUA BERLIM 6  PARQUE SAMPAIO VIANA;"";"";TEIXEIRAJANAINA614@GMAIL.COM;"";"";"";"";68080233;11;6313;SP;06395440;"";3299099;20250220;"";00;20250220;"";1
32707103000182;RUA E (CJ L E MAGALHAES) 33 PLTIS 4 BRASILIA;"";"";"";"";"";"";"";91333834;75;3515;BA;44089394;"";4772500;20190208;"";00;20190208;"";1
59189661000150;RUA RUA 3C CHACARA 27 30  SETOR HABITACIONAL VICENTE PIRES;"";"";MUDANCASEFRETESFUKUCHI@GMAIL.COM;"";"";"";"";94315785;61;9701;DF;72005510;"";4930204;20250130;"";00;20250130;"";1
44177372000163;RUA CORREIA VASQUES 00006  CIDADE NOVA;"";"";EQUIPEGH150@GMAIL.COM;"";"";"";"";33441520;21;6001;RJ;20211140;4723700,5611201,5611203;4721102;20211109;"";00;20211109;PARCEIROS DO ESTACIO;1
43606561000141;RUA IVOLANDIA 274  JARDIM AEROPORTO;"";"";GUILHERME@LUCROIDEAL.COM.BR;"";"";"";"";99633557;67;9051;MS;79103570;4713002,4755502,4755503,4759899;8299799;20210922;"";00;20210922;"";1
52304189000100;RUA IGUATEMI 88  JARDIM PAULISTA II;"";"";LAUDENORMOREIRA@GMAIL.COM;"";"";"";"";25169131;19;6511;SP;13349814;"";4399103;20230925;"";00;20230925;"";1
59726037000144;RUA CANGATI 17  ELDORADO;"";"";BIBIROCHA785@GMAIL.COM;"";"";"";"";40493922;11;6377;SP;09971210;"";1091102;20250302;"";00;20250302;"";1
54714253000156;RUA RODRIGO ROMEIRO 356  CENTRO;"";"";ADM@GERENCIALIACANGA.COM.BR;"";"";"";"";32941408;14;6219;SP;17015420;8599604;8690903;20240412;"";00;20240412;CTO MITSUO KUROZAWA;1
53849383000133;RUA DESEMBARGADOR JOAO PAES 197       SALA 0404 EMP             SPAZIO CXPST 149 BOA VIAGEM;"";"";LAELSONSILVAJUNIOR@GMAIL.COM;"";"";"";"";88415017;81;2531;PE;51021360;7711000;7112000;20240207;"";00;20240207;"";1
36099916000198;PRACA MANOEL BONITO 100  CENTRO;"";"";ESCRIIDEAL@GMAIL.COM;"";"";"";"";88754137;34;4069;MG;38440076;"";4723700;20200122;"";00;20200122;BAR DO JAPAO;1
32569453000120;RODOVIA BR-465 171 KM 40 CAMPO LINDO;"";"";JGTJOMARTAVARES@GMAIL.COM;"";"";"";"";37876308;21;0786;RJ;23898000;7319002;4789004;20190125;"";00;20190125;"";1
60210972000132;RUA MONTE AZUL 31  VILA SAO ROQUE (CAUCAIA DO ALTO);"";"";WESLEIDEJESUSRIBEIRO86@GMAIL.COM;"";"";"";"";98210409;11;6361;SP;06725020;4789005;8129000;20250402;"";00;20250402;"";1
49752877000128;RUA JOAO TOMOCHUMAS 514  PARQUE SANTA ROSA;"";"";CLEIDEBELO23668@GMAIL.COM;"";"";"";"";69842620;11;6403;SP;06907630;9602501;9602502;20230228;"";00;20230228;"";1
34571309000153;RUA DAVID DE OLIVEIRA 127  PATRIM S J BATISTA I;"";"";"";"";"";"";"";32814102;17;6779;SP;15400000;"";4754701;20190817;"";00;20190817;"";1
47627147000170;RUA BORGES DE MEDEIROS 929 SALA  404                 BLOCO OFFICE CENTRO;"";"";KAKAELLW@HOTMAIL.COM;"";"";00000000;0000;81629346;51;8839;RS;96810034;8650099;9602502;20220818;105;00;20220818;"";1
02191210000130;RUA RADIALISTA FRED GERMANO 487  JUSCELINO KUBITSCHEK;"";"";alineb.future@gmail.com;30257400;55;30257400;55;32122905;55;8841;RS;97035660;4530703;4520001;19971009;"";00;20050611;MECANICA KAELLI;1
58056258000190;RUA FLORIANOPOLIS 415  JARDIM CAIRI;"";"";BEZERRAVERA12@GMAIL.COM;"";"";"";"";97294725;44;7515;PR;86690000;"";9602501;20241111;"";00;20241111;"";1
07471005000141;AVENIDA JERUSALEM 437  VILA PALESTINA;"";"";DISTRIBUIDORALEAL@HOTMAIL.COM;"";"";"";"";97577048;27;5625;ES;29145620;4721102,4721104,4761003,4789005;4789099;20050627;"";00;0;BLUE BALLOON ARTIGOS PARA FESTAS;1
40843395000109;RODOVIA PE 95 253  LUIZ GONZAGA;"";"";"";"";"";"";"";99070327;81;2381;PE;55015020;"";5510803;20210212;"";00;20210212;D'LAZER;1
89116768002697;RODOVIA BR 158 SN KM 35 IVAI;"";"";"";"";"";"";"";"";"";8947;RS;98170000;9493600,9499500;9430800;19960418;"";00;20220216;"";2
34864032000157;RUA ROQUE FLORIANO DAS NEVES 592  VILA CIDADE NOVA;"";"";"";"";"";"";"";32412782;67;9021;MS;79200000;4712100;5611205;20190913;"";00;20190913;"";1
