CNPJ;Endereço;DATA DA SITUAÇÃO ESPECIAL;SITUAÇÃO ESPECIAL;CORREIO ELETRÔNICO;FAX;DDD DO FAX;TELEFONE 2;DDD 2;TELEFONE 1;DDD 1;MUNICÍPIO;UF;CEP;CNAE FISCAL SECUNDÁRIA;CNAE FISCAL PRINCIPAL;DATA DE INÍCIO ATIVIDADE;PAIS;MOTIVO SITUAÇÃO CADASTRAL;DATA SITUAÇÃO CADASTRAL;NOME FANTASIA;IDENTIFICADOR MATRIZ/FILIAL
11401311000340;RUA DORYMENDONTE ALVES SIMOES 31       A CAXIAS;"";"";AGLIOSOARES@GMAIL.COM;"";"";"";"";35751427;32;4567;MG;36160000;4729699,4763602,8591100;9313100;20170602;"";00;20170602;"";2
48895363000169;RUA ACAPURANA 00200       SALA 303 GARDENIA AZUL;"";"";GEANE26166@GMAIL.COM;"";"";"";"";66961043;21;6001;RJ;22765660;4755502,4763602,4781400,4789001;9602502;20221215;"";00;20241126;GLOW BRONZE;1
43079522000133;RUA ARISTOFANO ANTONY 76 A SALA 1 PETROPOLIS;"";"";REALCONTABILIDADE2012@HOTMAIL.COM;"";"";"";"";92098801;92;0255;AM;69063300;9511800,6190699,4322302,7319002,7733100,8599604;8219999;20210811;"";00;20210811;"";1
07419298000380;RUA SALVADOR S/N  ADRIANOPOLIS;"";"";romero.reis@rdenge.com.br;21011306;92;21011319;92;21011300;92;0255;AM;69057040;"";4110700;20060328;"";00;20060328;EMPREENDIMENTO VIEIRALVES BUSINESS CENTER;2
12273815000123;RUA SUELY LOPES BERNAR 2541  ROSEIRA DE SAO SEBASTIAO;20240628;RECUPERACAO JUDICIAL;CONTROLADORIA@SSMDOBRASIL.COM.BR;30373750;41;"";"";30373750;41;7885;PR;83070332;2441502,2610800,2731700,4292801,4321500,4742300,4789099;2511000;20100622;"";00;20100622;SSM SOLUCOES METALICAS;1
72742919000161;AVENIDA JOSE MIGUEL MAUAD 4100  DISTRITO INDUSTRIAL;"";"";LAJEFORT@NETSITE.COM.BR;38181234;16;"";"";38180866;16;7089;SP;14600000;4744005;2330399;19930824;"";00;20051103;LAJEFORT;1
33980309000144;AVENIDA MINAS GERAIS 05  SAO BRAS;"";"";ALINEAFO200206@GMAIL.COM;"";"";"";"";99814006;73;3811;BA;45980000;"";4789099;20190619;"";00;20220815;"";1
37411628000190;RUA CACHOEIRINHA (LOT S SIMAO) 4 QUADRA 124 SAO SIMAO;"";"";FELIPE.DOBROVOLSKI@OUTLOOK.COM;"";"";"";"";96831938;65;9167;MT;78145784;4752100,7319002,4753900;4751201;20200615;"";00;20200615;"";1
49195123000114;AVENIDA CANDIDO DE ABREU 129  BELA VISTA;"";"";MARIHENRIQUE76@GMAIL.COM;"";"";"";"";81363273;51;7485;PR;84470000;"";4781400;20230116;"";00;20230116;"";1
42166186000101;RUA INTENDENTE GERALDO PEREIRA 318  NOSSA SENHORA APARECIDA;"";"";DRICASOUUZA8@GMAIL.COM;"";"";"";"";99055675;37;5291;MG;35567000;1411802,1413403;1412603;20210601;"";00;20210601;"";1
20796648000123;AVENIDA BRIGADEIRO FARIA LIMA 1800  JARDIM PAULISTANO;"";"";GETPARKLIEGE@GETPARK.COM.BR;"";"";"";"";50538488;11;7107;SP;01451001;"";5223100;20140807;"";00;20140807;GET PARK ESTACIONAMENTO;1
08552914000177;SITIO ROCHA S/N ASSENTAMENTO GLEBA XV DE NOVEMBRO;"";"";"";32832686;18;32832686;18;32832686;18;7265;SP;19273000;"";0151202;20061213;"";00;20061213;"";1
36852004000145;RUA CARUXA 106  VILA FRANCA;"";"";GILBERTO_CONTABIL@HOTMAIL.COM;"";"";"";"";55182580;11;7107;SP;05776360;4712100,4721102,4722901,5611203;4724500;20200402;"";00;20230320;SACOLAO DO BAIRRO;1
26792890000105;10A RUA RUA PROJETADA 6 21  ARACAGY;"";"";NIELLERODRIGUES09@GMAIL.COM;"";"";"";"";88825151;98;0889;MA;65110000;4541206,4530703,4530704;7319002;20170103;"";00;20220601;"";1
34539030000192;RODOVIA MG 190 SN KM    34 1KM TREVO MATINHA      MARG.DIREITA FUNDOS EXPANSAO URBANA;"";"";TERRAPLANAGEMROCK@GMAIL.COM;"";"";"";"";99231988;34;4861;MG;38500000;4930201,4930202,7732201;4313400;20190814;"";00;20190814;ROCK TERRAPLENAGEM;1
36266215000104;RUA ENGENHEIRO VILLARES DA SILVA 699  ITAQUERA;"";"";VANDAGNATURA@GMAIL.COM;"";"";"";"";98595457;11;7107;SP;08215320;"";4772500;20200205;"";00;20200205;"";1
